3月1日起 一批新规正式施行 一起来看看3月份 生活将有哪些不一样！          版权归原作者所有，如需转载请注明出处	明天起，一批新规正式施行。一起来看看3月份，生活将有哪些不一样！          来源：人民网、人民日报 编辑：陶瑞祥
春节期间，北京市属公园免费开放	北京市属公园春节期间免费开放限流比例75%
新华社华盛顿2月24日电（记者王集旻）当地时间23日夜间，美国高尔夫球巨星“老虎”伍兹的社交媒体账号发布声明，称伍兹在遭遇车祸后进行了长时间手术，目前已经苏醒过来，恢复了意识。声明中说，伍兹在遭遇车祸之后，包括右腿在内多处进行了长时间手术，目前已经苏醒，也恢复了意识。	据五星体育引用多家权威媒体报道洛杉矶当地时间2月23日上午高尔夫传奇巨星“老虎”伍兹在洛杉矶遭遇严重车祸目前已送医院进行手术️△CNN对伍兹车祸的报道据洛杉矶警方权威消息，伍兹遭遇的是单车事故，他所驾驶车辆的只有他一个人。
【看电影学消防】《唐人街探案3》这个细节能救命！	这部电影中的细节，说不定能救命
向北京市民发出“在京过个安心年”邀约200多项文化活动春节上线	千龙网讯2月1日，北京召开新型冠状病毒肺炎疫情防控工作第224场新闻发布会。 北京市委宣传部副部长、市电影局局长王杰群介绍，结合疫情常态化，将组织春节元宵节文化活动。主要方式以线上活动为主。线下活动中博物馆、文化馆等场所仍将采取预约限流。
马蓉与王宝强离婚后沦落卖车宋喆购千万豪宅不敢真面目示人	王宝强马蓉离婚事件后宋喆买豪宅春风满面开启幸福新篇章
意甲分析：尤文图斯VS斯佩齐亚斯佩齐亚潜力很大	尤文vs斯佩齐亚前瞻：斑马军团争胜追榜首C罗渴望进球争金靴
北京时间1月18日，CBA常规赛第32轮比赛继续进行，辽宁对阵北京男篮，本场比赛是两队本赛季第二次交手，上一战辽宁105-83大胜北京。  最近辽宁队取得一波6连胜，以27胜3负稳稳占据积分榜榜首。不过此役作为他们8天之内的第5场比赛，球队已经显露出一定的疲态，不过他们整体实力在其他球队之上，他们疲	1月18日晚上，CBA常规赛将会迎来一场重头戏，领头羊辽宁男篮对战北京首钢男篮。此前辽宁队上一轮迎来6连胜，北京队上一轮大胜江苏队，历来京辽大战不乏看点，本场比赛是一场重头戏。半场结束，辽宁队51-40领先11分进入到中场休息。  两队首发阵容，辽宁队：赵继伟、郭艾伦、梅奥、张镇麟、韩德君；北京队：
缉魂《缉魂》围绕一起震惊全城的富豪被害案展开，张震与张钧甯联手追缉真相。张震饰演身患癌症的检察官梁文超。为贴近真实癌症患者的形象，他在三个月内疯狂减重12公斤，还剃光头发造型。饰演梁文超妻子阿爆的张钧甯，则拿掉“长发女神”的标签。以全新超短发诠释干练女警的风采。谋杀案背后还隐藏着哪些更为惊人的秘密	《缉魂》由程伟豪执导，张震、张钧甯、孙安可、李铭顺、张柏嘉等联袂出演的悬疑犯罪电影《缉魂》将于1月15日上映。饰演梁文超妻子阿爆的张钧甯，则拿掉“长发女神”的标签，以全新超短发诠释干练女警的风采。除此之外，李铭顺、张柏嘉等演员也都贡献出了充满爆发力的高光表演。
吴孟达去世不久，香港媒体拍摄到吴孟达儿子，与前后三位妻子，四儿一女的吴孟达(达叔)而最后的时光代表他发言的是他的朋友田启文。当周星驰得知这一消息后，许久不能平息，周星驰表示“我无法接受”，但，田启文这么久对吴孟达的陪伴与照顾就已经代替了周星驰的态度。	2月27日下午，著名演员吴孟达因肝癌在香港去世，享年68岁。就在刚刚，吴孟达多年的老搭档周星驰发文表示悼念，称自己刚得到消息。田启文表示，周星驰也一直很关心医院的情况，田启文告知周星驰，达叔现在的情况稳定，身边的人能够处理好，请他放心。
年年岁岁花相似，岁岁年年人不同。转眼间，2020年已经飘然而去，在新冠肺炎疫情席卷全球的大环境下，这一年的围棋界依然发生了如此多的故事：有惊喜和奇迹，也有告别和落幕...只是故事的主角永远不会是同一批人。 值此辞旧迎新之际，小编为大家整理了2020年棋坛发生的重大新闻和事件，将它们分为棋手、新闻、	年年岁岁花相似，岁岁年年人不同。转眼间，2020年已经飘然而去，在新冠肺炎疫情席卷全球的大环境下，这一年的围棋界依然发生了如此多的故事：有惊喜和奇迹，也有告别和落幕...只是故事的主角永远不会是同一批人。 值此辞旧迎新之际，小编为大家整理了2020年棋坛发生的重大新闻和事件，将它们分为棋手、新闻、
近日，某人在社交平台上说了这样一段话，他说C罗在中国的影响力不行，肯定比不上詹姆斯，因为青少年在中国都不参与足球运动。而且，如果在校园里大喊两声，一声是”C罗来了“，一声是”詹姆斯来了“，那么九成的人都会跑向喊”詹姆斯来了“这一边，剩下的一成也不会跑向喊”C罗来了“那一边。  这个人的言外之意很明确	原创/氧气是个地铁  最近有一个老话题又被重新炒作出来，那就是詹姆斯和C罗在中国的流量到底谁更好。有自媒体给出一个说法，那就是：C罗在中国影响力不行，因为足球基础太差，青少年不参与，如果在校园喊分别喊詹姆斯和C罗的名字，九成会奔詹姆斯去，而剩下来一成想围观C罗的人也会怀疑人生。这个观点一如既往体现出
巴拉多利德0-1瓦伦西亚索莱尔世界波一剑封喉瓦伦西亚结束8轮不胜蝙蝠军团瓦伦西亚客场挑战巴拉多利德，上半场队长加亚的射门击中立柱，下半场索莱尔攻入世界波，马克西-戈麦斯再度击中球门立柱，最终蝙蝠军团客场1-0力擒巴拉多利德，自第9轮主场击败皇马以来首次在西甲赛场取胜。	在结束的西甲国王杯的一场焦点之战中，西班牙人客场2比0淘汰乙B队列达，其中中国球员武磊发挥出色，他梅开二度包揽了本场比赛的全部进球，为球队击败对手立下头功。在这场比赛之前，武磊已经代表西班牙人在两项赛事都收获进球，因此外界也非常关注他是否能够在国王杯上有出色表现。
郑爽回家邻居嫌弃！遭圈内人抵制，身材暴瘦，她一手好牌打稀烂！	郑爽独自一人现身疑回老家后被嫌弃？
接下来笔者将为大家介绍五部被粉丝催了无数次的剧，靳东成毅李沁各一部，你最期待谁？作为李沁又一部现代剧，从预告片来看，她的CP感真的很强，无论是虐心男主雷宇峥，还是白月光邵峥嵘都超般配，期待这一年这部剧能够播出！这部《人民的财产》作为靳东又一部都市力作，却一直未能播出。	接下来笔者将为大家介绍五部被粉丝催了无数次的剧，靳东成毅李沁各一部，你最期待谁？作为李沁又一部现代剧，从预告片来看，她的CP感真的很强，无论是虐心男主雷宇峥，还是白月光邵峥嵘都超般配，期待这一年这部剧能够播出！这部《人民的财产》作为靳东又一部都市力作，却一直未能播出。
自带流量的金曲榜冠军，肖战再获一项荣誉，官方直呼人气王	肖战团队记恨在心？曝《斗罗》女主被极力避嫌，男方时刻保持距离
本期编辑：王帅 声明 1、我们重视保护作者版权，被刊用文章和图片无法核实真实出处，未能及时与作者取得联系，如有版权异议侵权的，请联系我们删除，谢谢！ 2、我们注重分享，如需转载请保持图文完整，拒绝任何形式的删改，并请注明出处。  分享 点赞	本期编辑：宋一峦 声明 1、我们重视保护作者版权，被刊用文章和图片无法核实真实出处，未能及时与作者取得联系，如有版权异议侵权的，请联系我们删除，谢谢！ 2、我们注重分享，如需转载请保持图文完整，拒绝任何形式的删改，并请注明出处。  分享 点赞
国家摔跤队不服我社会人	国家摔跤队就是吊
从目前来看，塔克在攻防两端的作用，完美适合雄鹿的体系，在进攻端，能为字母拉开空间，在防守端能补强雄鹿的防守短板。	火箭队的塔克注定要在交易传闻中度过他的三月了，因为根据报道，现在已经有数支球队表现出对这名老将的兴趣。他只有1.95m，但有时候会被提到4、5号位，他体重111kg，但总能拼抢到进攻篮板。在休斯顿的三个赛季中，塔克的三分球命中率高达36.6%是优质的外线射手，同时他也是联盟最优秀的防守者之一。
今天下午4点，新一期国足将在海口的训练基地跟河北华夏幸福进行一场热身赛，由于两队都有主力缺席，因为都无缘派出最强首发阵容。  去年因为40强赛推迟，因此主帅李铁上任之后至今没有带队踢出一场正式比赛，只有4场热身赛，分别8-0沈阳城市建设、1-0武汉卓尔、4-1上海上港、4-0上海申花，豪取4连胜的战	国足罕见放水？4-1领先，李铁直接换了11人，最终5-1大胜 正在海南集训的中国国足，在首场热身赛中5-1大胜河北华夏幸福，不过，这场比赛却引发了外界的一些热议。  根据国足官方报道，上半场比赛国足就以4-1的比分领先对手了，下半场李铁直接把首发11人全部替换，然后国足再进一球，最终将比分定格为5
据相关视频消息透露，当时吴孟达在工作时心脏突然不适，不知与此次港媒报道是否相关。其实二人并不是没有在后面接触过，当年周星驰导演在拍摄《美人鱼》的时候，就有想过邀请吴孟达先生一起合作，可惜当年吴孟达先生的身体就有些许不适，不能下水，就拒绝了那一次的合作。	吴孟达多次感到心脏不适搜狐娱乐讯据香港媒体报道，现年68岁的吴孟达近年屡传身体状况出问题，有可靠消息称，身在香港的吴孟达昨日（20号）因重病入院，目前被安排在肿瘤科留医，暂时未知情况。
【徐静雨】湖人新赛季阵容如何搭建？别谈潜力，引援着眼于当下！	【徐静雨】湖人新赛季首发控卫会是谁？卡鲁索值得信赖！
美国国防部3日发表声明说，驻有国际联盟部队的伊拉克阿萨德空军基地当天遭到10枚火箭弹袭击。位于伊拉克西部安巴尔省的阿萨德空军基地是伊拉克第二大空军基地，该基地是目前美国在伊拉克驻军人数最多的基地，那里同时驻扎着打击极端组织“伊斯兰国”国际联盟的多国部队。	【环球网报道记者徐璐明】阿拉伯新闻报(ArabNews)3月3日报道称，位于伊拉克安巴尔省阿萨德空军基地当天遭到多枚火箭弹袭击。阿拉伯新闻报报道截图另据半岛电视台的报道，伊拉克安全部门的消息称，共有10枚火箭弹击中了阿萨德空军附近的地面。
定档1月12日《山海情》黄轩演绎脱贫致富的时代担当	《山海情》热播，你看了吗？这么接地气，不信你不笑！
爷青回！《男才女貌》18年后，陆毅&曾黎再度合作	兜兜转转还是你，陆毅&曾黎同框让观众泪目
北京市公安局日前通报，获悉此情况后，北京警方迅速调查，仅用3天就成功破获这起非法出售、收购珍贵濒危野生动物制品案，抓获犯罪嫌疑人1名，起获国家二级重点保护野生动物白胸翡翠制品等点翠工艺品107件。警方提示，盗捕盗猎、非法交易野生动物及其制品不仅会破坏生态环境，还需承担违法犯罪法律责任。	北京青年报记者2月28日获悉，北京警方收到线索后，抓获犯罪嫌疑人1名，现场起获白胸翡翠鸟制品等点翠工艺品107件。2月10日下午，工作专班会同朝阳分局南磨房派出所将犯罪嫌疑人闫某某抓获，在其家中起获107件点翠头饰、项链、耳环等野生动物制品。
世卫组织敦促英国暂停疫苗接种计划：先公平分配给全球	世卫敦促英国：达成阶段目标后暂停新冠疫苗接种计划，确保全球公平分配
有爱瞬间！拍全家福小狗悄悄入镜	12日，江苏淮安 宋先生一家人 准备拍张全家福 没想到一旁的小狗看到后 悄悄入镜 想一起拍照  网友：狗狗的突然出现好治愈  来源：@人民日报，@四川观察 版权归属原作者所有，如有侵权请联系我们ID：iHOPEso 编辑：朱嘉瑞、房厦 责任编辑：于洋 审核：徐永超
北京时间1月18消息，2021年斯诺克大师圆满落幕。中国00后小将颜丙涛，10-8战胜2届世锦赛冠军“巫师”约翰-希金斯夺得冠军，他也成为首位获得大师赛冠军的00后，奥沙利文之后最年轻的大师赛冠军！今晚22:30，CCTV5+将录播这场决赛的实况！  过往，颜丙涛与希金斯有过6次交锋机会，战绩为3胜	2021年1月17日，斯诺克大师赛在米尔顿凯恩斯落幕。颜丙涛在决赛中以10-8的比分击败希金斯，成为历史上第六位首次参加大师赛就夺得冠军的选手。在丁俊晖之后，中国再度诞生了一位「三大赛」冠军。  1、决赛：颜丙涛10-8希金斯 第1阶段（3-5）：99(66)-0，16-73，72-66，0-7
发生火灾时您会在电视屏幕上看到这个画面▲指示您迅速有效逃生的消防提示所以呢，欢唱ktv时蓝盆友最！年关将至，阿消也提醒各位KTV负责人确保店内所有系统已按要求安装KTV突发事件紧急切断提醒疏散程序为顾客营造安全舒适的休闲空间那么，在KTV遇到火灾要怎么逃生呢？	发生火灾时您会在电视屏幕上看到这个画面▲指示您迅速有效逃生的消防提示所以呢，欢唱ktv时蓝盆友最！年关将至，阿消也提醒各位KTV负责人确保店内所有系统已按要求安装KTV突发事件紧急切断提醒疏散程序为顾客营造安全舒适的休闲空间那么，在KTV遇到火灾要怎么逃生呢？
报名确认、打印准考证两个环节，报考省直机关（单位）的，通过河南人事考试网进行；报考省辖市及以下职位的，通过相关省辖市的考试录用公务员工作专用网站进行。面试确认期间出现的空缺，由相关省辖市公务员主管部门、省直招录机关（单位）发布递补公告，从报考同一职位的应试者中按笔试成绩从高分到低分的顺序依次递补。	报名确认和缴费根据报考职位分别进行，即：报考省直机关职位的，在河南人事考试网进行;报考省辖市及以下职位的，在相关省辖市考试录用公务员工作专用网站进行。面试确认的时间、地点及有关事项由相关省辖市公务员主管部门、省直招录机关(单位)确定并通过本市、本机关(单位)考试录用公务员工作专用网站发布。
紧急通告！河北1市急寻同车厢相关密接人员！	急寻！2月21日乘坐G1224列车（10号车厢）乘客！
55岁新郎回应娶22岁妻：因家穷结婚晚，曾在广东做建筑工	55岁男子回应娶未成年智障女孩：她22岁，当地老汉说媒
来源:扬子晚报2021-03-0511:26:39我来说说阅读次近日河南信阳市光山县一农户家中发生了离奇怪事一周自燃40多次!!!扑了又着，着了再扑灭。除了窗帘，还有家中的被褥、柜子，接连发生自燃。现在家里装了十多个监控摄像头，但即便一直盯着，也不知道什么时候这些火苗就又蹿了起来。	近日河南信阳市光山县一农户家中发生了离奇怪事一周自燃40多次！扑了又着，着了再扑灭。村里也是议论纷纷，有的人说是因为后面有坟墓，但罗先生表示，自己只相信科学！现在家里装了十多个监控摄像头，但即便一直盯着，也不知道什么时候这些火苗就又蹿了起来。期待真相出炉！
自己之所以这么多年不回应，是觉得没必要，而即使要回应，也应该是黄晓明作出澄清的。如今，Angelababy和黄晓明也罕见的同时对一件事情作出回应和澄清，也给人一种妇唱夫随的感觉，也期待着在不久的将来，两人也能再度的同框秀恩爱，相信到时候也会得到大家广泛祝福的！	黄晓明和Angelababy杨颖真的离婚了？在这篇发文中，杨颖两次称呼黄晓明为“黄先生”，而在此之前，杨颖在公开场合一直都称呼黄晓明为“老公”或是“晓明哥”。正常情况下，一个从前一直以亲密称呼来称呼自己老公的女人，怎么会突然间称自己老公为“别人”和“他人”？除非他们已经离婚。
受冷空气和雨雪天气影响，北方迎来明显大风降温天气，内蒙古东部、黑龙江中部、吉林西部等地降温10～14℃，局地可达14℃以上。2日：陕北多云间晴天，关中、陕南多云转阴天，宝鸡西部局地、汉中有小雨。3月1日：小雨转阴天，3℃～12℃。	受冷空气和雨雪天气影响，北方迎来明显大风降温天气，内蒙古东部、黑龙江中部、吉林西部等地降温10～14℃，局地可达14℃以上。3月1日：陕北、关中北部小雪转阴天，关中南部、陕南阴天有小雨或雨夹雪，秦巴山区有小到中雪，局地大雪。
NBA常规赛继续进行，黄蜂主场迎来火箭的挑战。上一场黄蜂大胜奇才，排名东部第7，而火箭则不敌马刺，排名西部第10，值得一提的是，火箭内线核心伍德缺席，而黄蜂齐员出战。悍将三球表现突出砍下24分7篮板10次助攻的数据，比肩同期的詹姆斯。	考辛斯暴扣，奥拉迪波拿球时间过多，24秒即将违例3分出手不进。奥拉迪波连续5次3分球出手不进后，终于在第3节中段投入个人本场比赛第一记三分球。火箭已经落后14分，暂停回来火箭依然断电，7分多钟仅拿1分，1-19被打爆，已经落后到21分，最终火箭队末节仅拿7分，惨败黄蜂。
说到公关行业，大家是不是想起了前段时间佟丽娅主演电视剧《完美关系》，一开始《完美关系》是以国内第一部公关题材电视剧为噱头宣传，可没想到随着后续剧情的崩塌，《完美关系》收官成绩竟然只有3.9分。当然也有观众说，这个桥段其实是根据某一年的新闻，航空公司将乘客驱逐下飞机改编而成。	没错，霍伟伦真就没怎么样，就如此毫无保障和智商堪忧的公关手段，他后面竟成了公关公司的副总裁，编剧是专注于搞笑剧的吧？接下来，剧情开始进入套路模式，林中硕良心发现曝光视频，航空公司出现公关危机，可让他没想到的是，自己阴差阳错成了际格公关公司的副总裁，负责处理相关事件。
“原地过年，非必要不返乡！”多地密集发通知！	非必要不回乡！多地倡导原地过年
吕梁市人民政府关于在全市范围内禁止点放“孔明灯”的通告“孔明灯”属高空明火飞行物，外焰温度高达300℃，升空后滞空时间长，稍有不慎，极有可能引发火灾，并威胁飞行器、高压供电设备、通信设施以及各类建筑物安全，存在诸多安全隐患。	吕梁市人民政府关于在全市范围内禁止点放“孔明灯”的通告“孔明灯”属高空明火飞行物，外焰温度高达300℃，升空后滞空时间长，稍有不慎，极有可能引发火灾，并威胁飞行器、高压供电设备、通信设施以及各类建筑物安全，存在诸多安全隐患。
38例阳性！暂停！	38例阳性！暂停
加上女方朋友出来爆料称男方语言暴力，称福原爱的怀第一胎时害喜很严重，但江宏杰却对她说过好几次难听的话。	3日，日媒曝#福原爱江宏杰#已协议离婚，还拍到福原爱与一男子约会吃小笼包和烧麦，随后同回酒店过夜。福原爱承认了此事，但强调两人是一人住一间房间，更提到“最近精神状况不佳”，对方是很支持自己的朋友之一。她在接受《周刊文春》访问时，被问到是否难以忍受老公长期言语暴力才分手？
张帅因伤退出WTA雅拉山谷精英赛单打比赛	【张帅因伤退出雅拉山谷精英赛】北京时间2月2日，世界女子网球协会（WTA）官方宣布，赛会10号种子、中国金花张帅因为右肩受伤将退出WTA500雅拉山谷精英赛单打比赛，卡罗琳·多莱海德将代替其参赛。
最新调整，事关春运！	注意！春运购票有调整！
1公里4分05秒，62岁奶奶用这个速度跑了42195公里	1公里4分05秒，62岁奶奶用这个速度跑了42195公里
国际油价19日显著下跌	新华社纽约2月19日电（记者刘亚南）国际油价19日显著下跌。 截至当天收盘，纽约商品交易所3月交货的轻质原油期货价格下跌1.28美元，收于每桶59.24美元，跌幅为2.12%；4月交货的伦敦布伦特原油期货价格下跌1.02美元，收于每桶62.91美元，跌幅为1.60%。（完）
一条消息未发，粉丝就破了千万	这就是“顶流”！
东京奥运会2032年办？国际奥委会：相信日本，全力以赴在今夏举办	东京奥组委：东京奥运会将如期举行
3月4日下午，据媒体报道，李冰冰近日在某采访中透露已经与交往了四年的男友分手，一时间引发了网友们的热议。李冰冰称男友是一个很优秀的人，但是因为自己导致他成为了八卦的附属品，两人分手后，他会更加优秀。	3月4日，李冰冰分手登上了热搜榜引发网友的热议，很多网友喊话任泉加油。#李冰冰与男友分手#在最近的采访中，李冰冰被问及感情状态，坦言我已经没有爱人了，已经与男友分手。李冰冰还表示两人分手是经过深思熟虑后的结果，两人分开并不是因为矛盾，两人虽然情感关系上不再是恋人，但成为了更加情逾骨血的亲人。
微信表情包“禁烟”了！“悠闲叼烟”表情下线	哎哎哎？微信突然少了个“小东西”，你发现了吗？
天堂没有病痛，我们没有了吴孟达，致敬	吴孟达离世友人代发讣告，全程无亲友露面，周星驰难以接受噩耗
皇马希望得到姆巴佩已经成为了路人皆知的事情了，根据媒体报道，皇马近期开始制定了详细的收购姆巴佩的计划。他们希望能够在今夏引进这位超级巨星，届时球队将要准备至少1.5亿的转会费。梅、罗两人统治足坛的时代即将结束，未来的足球世界将会迎来新的王者。从目前的情况来看，姆巴佩是最被认可的球员之一，要知道在欧	前言：欢迎关注来自英超、西甲、意甲和世界各地最大的转会传闻！最新5大转会：皇马巨变！18冠27岁铁闸离队，姆巴佩尚未续约  瓦拉内想离开皇家马德里？西班牙媒体爆料：瓦拉内想离开皇马，这位法国国脚正在寻找新的挑战！这位法国后卫自2011年以来一直效力于皇马，但是现在他希望离开，寻找新的冒险。瓦拉内的合
沃神表示如果格里芬来到布鲁克林篮网，他将担任篮网队的替补中锋，换句话说就是小个阵容的中锋，而对于格里芬的到来，詹姆斯-哈登也表现得非常开心，在全明星的赛后采访中哈登也对格里芬的加盟表达了浓厚的兴趣！如果他们能签下德拉蒙德和阿里扎，这对于篮网队的阵容来说是一个完美的提升！	据说篮网队是用一份老将底薪签下的格里芬。之前侃球君就隐约感觉，格里芬有可能会来篮网，毕竟一个同时拥有杜兰特、欧文跟哈登这样史诗级的球队，你显然没有理由拒绝，更关键的是，相比于湖人跟快船，内线近乎真空的篮网是极度需要格里芬的。
吴孟达的病世，标志着一个电影时代的落幕	吴孟达的最后一条微博爱国，朋友圈里敬业，所以官媒哀悼圈内怀念
刚公开恋情就分手！张一山被指渣男，宋妍霏快刀斩乱麻满脸绝望！	宋妍霏分手后状态差：在片场无精打采，疑似被张一山伤得很深
创四后续嘉宾有宋茜鹿晗，一公还请来了木村光希？决赛或能“四代同堂”	期待！《创造营2021》第一次公演表演飞行嘉宾是木村光希
因为情怀与吊了一年的胃口，上映3天《唐人街探案3》的票房就已经突破25亿元，这惊人的票房成绩，帮助陈思诚导演的电影票房超过了100亿。另一部分就是作品因素了，《唐探2》争议不断、《唐探3》口碑翻车，怎么看陈思诚都不太担得起首位百亿导演的名头。	《唐人街探案3》有着前两部的口碑和声誉在前，还没上映就在网上获得极高关注，是春节档最被看好的一部电影。在短短3天内就突破20亿票房大关的速度实在惊人，这样的成绩绝对对得起电影上映前的宣传以及前两部《唐人街探案》打下的好口碑，然而第三部的质量却对不起观众们的期待。
近日杜江晒出了儿子嗯哼的一组近照，他还在配文中写道：“人送外号“小李现”，一旦接受这个设定”其后配上了几个哭笑不得的表情包，显然也是对于这件事的一种玩笑似的调侃。	照片中的嗯哼在某些侧脸角度的确和李现很像，甚至连李现本尊也表示认可，回复杜江：嗯哼就是小李现角色的不二之选！在杜江的动态下方，李现本人也亲临。如此一来，李现就收获了一个mini版的李现，还真是娱乐圈中奇妙的联动。网友纷纷留言表示真的是太像了，尤其是鼓鼓的腮帮子。大家觉得嗯哼与李现是否很像呢？
CBA综合消息：广东豪取12连胜辽宁遭遇两连败	综合消息：广东豪取12连胜辽宁遭遇两连败
23岁女孩网约车搬家途中跳车身亡，家属回应：司机已被释放，没任何人来探望过	律政时代：23岁女生在货拉拉车上跳窗身亡，涉事司机现被释放
在电商平台，花费5元就能买一单《你好，李焕英》的电影资源；盗版影片的链接更是在朋友圈、贴吧中传播；在部分公众号上搜索电影名，以及通过一些网络群内，也可免费获得盗版电影资源。	在电商平台，花费5元就能买一单《你好，李焕英》的电影资源；盗版影片的链接更是在朋友圈、贴吧中传播；在部分公众号上搜索电影名，以及通过一些网络群，也可免费获得盗版电影资源。
港媒曝吴孟达因重病入院	港媒爆吴孟达因重病入院
“勿要出去轧闹猛”！沪语版疫情防控海报发布→	新春佳节临近，健康生活第一！上海市健康促进中心发布首套沪语版防护海报，提醒广大市民：疫情防控不松劲、个人防护要继续。      【信息来源：上海市健康促进中心】
河北：石家庄和邢台第二轮全员核酸检测进展顺利	1月11日0时至12时，石家庄市新增确诊病例16例；明日启动全市第二轮全员核酸检测
北京时间2月10日，篮网以11分的分差输给“巨人杀手”活塞队，欧文和哈登合砍51分但是无奈对手5人得分上双，格兰特砍下了32分全场最高！赛后的纳什批评全队没有荣誉感、不够团结、提前放弃了比赛！	篮网今天客场挑战全联盟战绩最差的活塞，在杜兰特缺席的情况下，他们爆冷以111-122不敌活塞，遭遇了三连败。活塞本赛季战绩很差，但这场比赛的结果也算不上是爆冷，因为活塞本赛季赢的球队都是强队，分别是太阳、凯尔特人、热火、76人、湖人以及今天的篮网。
反观火箭队，不仅球队内线核心克里斯蒂安伍德复出，麦克勒莫也迎来了新赛季的首秀，火箭的人员配置和阵容深度都要好于魔术队，虽然在人员配置上更占优，赢下比赛并不难，但怎么赢更重要。登哥最好的转型模板就是上赛季的詹姆斯，先策应队友进攻，再结合场上的情况合理分配自己的进攻，并在关键时刻接管比赛。	北京时间1月9日，NBA常规赛火箭以132-90大胜魔术，拿到了一场42分大胜！今天这一场比赛，火箭从一开始就手握比分优势，哈登都没有怎么发力，全场没有一次罚球，拿到15分13助攻帮助球队取胜。
广东省阳江市政府原党组成员、副市长李孟志严重违纪违法被开除党籍和公职	广东省阳江市原副市长李孟志被“双开”：甘于被“围猎”
钓鱼：幸好他经验丰富有备而来，不然这条鱼肯定是跑了！	翻板钩三、饵料选择翻板钓的饵料选择一般都用糠饼，也可以自行制作，现在大部分人都用现成的商品方块料和圆形的饵料，还有各种味型，也可以根据垂钓的鱼种进行选择。如果钓组在水中不会翻过来，导致钩就在最底下，鱼光吸钓饵吸不到钩了，那就是很多人用翻板钩钓不到鱼的主要原因。
CBA官方17日晚公布了本赛季常规赛第三阶段及后续比赛日程，其中常规赛第三阶段(第40-47轮)比赛时间为3月1日至3月18日；全明星周末时间为3月19日到3月21日；常规赛第四阶段(第48-56轮)时间为3月24日到4月13日；季后赛将从4月16日开始，总决赛最晚将于5月1日结束。	昨晚，CBA公布了本赛季剩余比赛的赛程，第三阶段比赛将于3月1日开赛；季后赛从4月16日开始；总决赛4月27日打响，最晚5月1日结束。
精彩内容回顾 1、2021年韩女团中国人气排名，实时投票专贴！ 2、2021年韩男团中国人气排名，实时投票专贴！ 3、盘点韩国女团中5个大势忙内，无论样貌还是实力都是一流 4、史上最悲催练习生？11年练习生选秀依旧落选，曾是少时和f(x)预备成员 5、女团成员面对美食的这种表情！减	精彩内容回顾 1、2021年韩女团中国人气排名，实时投票专贴！ 2、2021年韩男团中国人气排名，实时投票专贴！ 3、盘点韩国女团中5个大势忙内，无论样貌还是实力都是一流 4、史上最悲催练习生？11年练习生选秀依旧落选，曾是少时和f(x)预备成员 5、女团成员面对美食的这种表情！减
得知达叔病情，网友们纷纷为吴孟达留言祈福：“还想看达叔和星爷有生之年再合作！最后，真的希望达叔能够战胜病魔，健康出院。	但此次，达叔重病的消息传出后，星爷也是第一时间询问了达叔的病情，并且表示如果有资金需求，可以随时云找他。相信只要达叔病情好转，只要有合适的角色，周星驰一定会再和吴孟达合作的。去年11月中因肺纤维化恶化余慕莲被送进伊利沙伯医院ICU治疗，一度还曾传出她患上罕见血癌的消息。
欧文的火力从开局就不曾停歇，上来就连飙两记三分，给了对手一次下马威。欧文11投9中，哈登10投6中，两位顶级巨星的灼热手感，直接摧毁了对手。在哈登加盟以后的14场比赛中，篮网的进攻效率120.5更是仅次于同期的爵士，高居联盟第二位。	北京时间2021年2月16日，篮网大胜国王。图为哈登强杀篮下造犯规。欧文三分神准。双方倒地争抢。布朗中距离。欧文福克斯竞速。KD场边观战。FOX突分。登哥后撤步。格林暴力隔扣。欧文福克斯对位。
正在热播的主旋律扶贫剧《山海情》从刚开始不被看好，到成为全民追得欲罢不能的热剧，豆瓣评分一路升至了9.4。  这部剧能打动无数人的原因，就在一个“真”字！“故事”“乡土”“生命力”……都是《山海情》的“催泪点”。  《山海情》原名《闽宁镇》，“闽”取自福建，“宁”取自宁夏。 剧中的情节不是根	主旋律扶贫剧《山海情》正在热播，在网上网下都掀起一股追剧热。记者日前走进剧中故事发生地——宁夏闽宁镇，找到男一号马得福的原型人物谢兴昌，和他一同追忆20多年的奋斗历程。 驱车沿着宽阔干净的公路一进入闽宁镇，整齐的建筑、热闹的集市就映入眼帘，让人感觉如同在城市一般。仅从镇容镇貌而言，闽宁镇作为移民区，
国家卫健委：现有本土确诊病例连续15天下降本轮聚集性疫情已经得到有效控制	国家卫健委：全国连续3天无新增本土确诊和疑似病例，现有本土确诊病例连续15天下降
男子放鞭炮误扔打火机拿炮捂耳朵，还冒着烟！网友：差点变成聋的传人	男子放炮误扔打火机拿炮捂耳朵
猪猪侠：猪猪侠上电视了，竟然对着摄影机狂吹牛！	猪猪侠：猪猪侠来到银行金库，看到很多金钻，嘴巴都合不拢了
综艺：歌迷现场为梁咏琪献唱，歌声中散发去满满的爱，感动全场！	综艺：歌迷现场为梁咏琪献唱，歌声中散发去满满的爱，感动全场！
